,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0030564,DeAndre Hopkins,WR,HOU,18.5,14.3,14.6,26.7,27.2,9.9,,36.4,20.6,18.1,17.6,19.5,16.0,35.9,18.0,16.5
00-0030565,Geno Smith,QB,SD,,,,,,,,,-0.1,,,,9.78,,,
00-0030578,Cordarrelle Patterson,WR,NE,1.7,13.3,2.2,9.5,0.0,13.0,1.9,3.7,0.0,,8.5,10.2,13.8,3.8,1.3,1.7
00-0030656,Isaiah Crowell,RB,NYJ,10.6,3.7,7.4,3.7,8.7,9.3,11.1,19.8,,16.5,1.8,11.5,5.4,16.1,10.5,5.3
00-0030663,Willie Snead,WR,BAL,,,,,,2.1,,,-2.0,,2.2,1.9,5.1,1.0,3.3,1.6
00-0030668,Charcandrick West,RB,KC,9.5,,3.3,8.5,15.3,1.9,,1.4,8.3,,6.4,3.7,,8.5,0.6,5.8
00-0030669,Albert Wilson,WR,MIA,8.7,4.6,10.4,10.9,3.8,,13.3,,,,,12.6,5.7,12.2,2.5,6.6
00-0030670,Bennie Fowler,WR,CHI,17.1,1.8,9.5,5.5,,5.1,9.5,5.5,,,2.8,12.3,3.3,,,0.0
00-0030710,Trey Burton,TE,CHI,0.0,2.0,2.7,,9.6,1.9,1.7,4.1,12.1,,,,8.2,24.1,9.5,
00-0030711,David Fluellen,RB,TEN,,1.8,,0.3,,,,,,,,,,,,
00-0030737,Freddie Martino,WR,TB,,,,,,,,,,,,,,2.9,2.1,7.7
00-0030743,Bernard Reedy,WR,TB,,0.0,1.9,0.0,0.0,0.4,1.0,0.0,2.5,0.0,,,0.0,0.0,,
00-0030780,Ryan Hewitt,RB,CIN,,,,2.6,,,,,,,,,,1.6,,
00-0030807,Seantavius Jones,WR,IND,,,,,,,,,,,,,,,,
00-0030821,Allen Hurns,WR,DAL,7.2,20.2,11.0,8.2,4.1,6.7,15.1,,6.1,14.0,,,,,,
00-0030825,Stephen Morris,QB,HOU,,,,,,,,,,,,,,,,
00-0030854,Erik Swoope,TE,IND,,,,,,,,,,,,,,,,
00-0030874,Damien Williams,RB,KC,,,2.1,0.1,3.8,5.3,4.0,0.9,18.1,5.9,11.2,8.2,,,,
00-0030968,Keith Smith,RB,OAK,,,,,3.0,,,,,1.1,,,,1.3,2.2,
00-0030990,Josh Huff,WR,NO,,,,,,,,,,,,,,,,
00-0031001,Jeff Janis,WR,CLE,,,,,0.0,0.0,,,,,,,,,,2.2
00-0031023,Quincy Enunwa,WR,NYJ,,,,,,,,,,,,,,,,
